test;http://www.openlinksw.com/schemas/virtrdf#;http://www.w3.org/ns/ldp#;urn:activitystreams-owl:map;http://localhost:8890/DAV/;http://www.w3.org/2002/07/owl#;http://ns.inria.fr/indegx#D2KAB_20220126;http://ns.inria.fr/indegx#Experiment_20220316;http://ns.inria.fr/indegx#LOD-Cloud_20220420;http://ns.inria.fr/indegx#D2KAB_20220610;http://ns.inria.fr/indegx#DBpedia_20220610;http://ns.inria.fr/indegx#D2KAB_20220125;http://ns.inria.fr/indegx#D2KAB_20220420;http://ns.inria.fr/indegx#Experiment_20220406;http://ns.inria.fr/indegx#Experiment_20220420;http://ns.inria.fr/indegx#LOD-Cloud_20220406;http://ns.inria.fr/indegx#Web_Semantics;http://ns.inria.fr/indegx;http://ns.inria.fr/indegx#Experiment_20211206;http://prod-dekalog.inria.fr/sparql;http://ns.inria.fr/indegx#LOD-Cloud_20220131;http://ns.inria.fr/indegx#Experiment_20211203;http://ns.inria.fr/indegx#Experiment_20211118;http://ns.inria.fr/indegx#Experiment_20211129;http://ns.inria.fr/indegx#D2KAB_20220701;http://ns.inria.fr/indegx#DBpedia_20220701;b3sonto;b3sifp;urn:rules.skos;http://www.openlinksw.com/schemas/oplweb#;virtrdf-label;virtrdf-url;facets;http://ns.inria.fr/indegx#D2KAB_20220509;http://ns.inria.fr/indegx#Experiment_20220509;http://ns.inria.fr/indegx#LOD-Cloud_20220509;http://ns.inria.fr/indegx#ontology;http://ns.inria.fr/indegx#LOD-Cloud_20220316;http://ns.inria.fr/indegx#D2KAB_20220316
https://raw.githubusercontent.com/Wimmics/dekalog/master/rules/check/indicatesUsedVocabularies.ttl;0;0;0;0;0;0;365;5;135;208;0;9;181;183;8;406;0;0;0;0;0;0;0;9;18;0;0;0;0;0;0;0;9;181;583;0;101;9;
https://raw.githubusercontent.com/Wimmics/dekalog/master/rules/extraction/computed/languages.ttl;0;0;0;0;0;6;404;0;5;0;6;0;2;0;1;405;0;404;0;0;404;404;404;5;0;0;0;0;0;0;0;0;0;0;0;0;0;5;
https://raw.githubusercontent.com/Wimmics/dekalog/master/rules/extraction/computed/propertyCount.ttl;0;0;0;0;0;9;76;0;2;12;9;0;6;0;1;130;1;72;0;53;74;74;73;4;9;0;0;0;0;0;0;0;0;0;14;0;26;2;
https://raw.githubusercontent.com/Wimmics/dekalog/master/rules/check/reachability.ttl;0;0;0;0;0;21;213;0;10;19;21;9;191;191;1;422;1;423;0;216;423;538;420;9;20;0;0;0;0;0;0;0;9;195;534;0;85;11;
https://raw.githubusercontent.com/Wimmics/dekalog/master/rules/extraction/computed/resourceNamespaces.ttl;0;0;0;0;0;0;0;0;1;9620;0;0;0;0;0;16215;0;0;0;0;0;0;0;6;1244;0;0;0;0;0;0;0;0;0;2973;0;0;0;
https://raw.githubusercontent.com/Wimmics/dekalog/master/rules/check/provenance.ttl;0;0;0;0;0;32;398;5;136;342;18;9;192;193;8;421;1;271;0;447;217;287;338;9;20;0;0;0;0;0;0;0;9;197;620;0;107;9;
https://raw.githubusercontent.com/Wimmics/dekalog/master/rules/sparqles/SPARQL11/SPARQLES_SELFILABS.ttl;0;0;0;0;0;11;124;0;5;9;10;4;116;113;0;182;1;122;0;93;124;182;122;6;13;0;0;0;0;0;0;0;4;120;243;0;43;4;
https://raw.githubusercontent.com/Wimmics/dekalog/master/rules/sparqles/SPARQL10/SPARQLES_SELGRAPHJOIN.ttl;0;0;0;0;0;9;113;0;4;10;8;3;109;109;0;177;1;111;0;87;112;170;107;5;13;0;0;0;0;0;0;0;3;111;240;0;43;3;
https://raw.githubusercontent.com/Wimmics/dekalog/master/rules/sparqles/SPARQL11/SPARQLES_CON-.ttl;0;0;0;0;0;11;130;0;6;9;11;5;114;113;0;181;1;128;0;95;128;180;128;7;12;0;0;0;0;0;0;0;5;120;242;0;43;5;
https://raw.githubusercontent.com/Wimmics/dekalog/master/rules/sparqles/SPARQL11/SPARQLES_SELMAX.ttl;0;0;0;0;0;10;124;0;4;10;9;3;115;112;0;185;1;120;0;92;122;177;120;5;14;0;0;0;0;0;0;0;3;119;249;0;43;3;
https://raw.githubusercontent.com/Wimmics/dekalog/master/rules/extraction/computed/datatypes.ttl;0;0;0;0;0;0;0;15;12;4;0;12;0;227;0;470;0;0;0;0;0;0;0;20;7;0;0;0;0;0;0;0;12;234;95;0;0;0;
